CM,BC:CM - Effective Communication,BC,Baccalaureate Competencies
CT,BC:CT - Critical Thinking,BC,Baccalaureate Competencies
IL,BC:IL - Information Literacy,BC,Baccalaureate Competencies
KI,BC:KI - Knowledge Integration,BC,Baccalaureate Competencies
SR,BC:SR - Social Responsibility,BC,Baccalaureate Competencies
DC,BK:DC - Diversity & Culture,BoK,Breadth of Knowledge
EC,BK:EC - English Composition,BoK,Breadth of Knowledge
FA,BK:FA - Fine Arts,BoK,Breadth of Knowledge
HP,BK:HP - Historical Perspectives,BoK,Breadth of Knowledge
HU,BK:HU - Humanities & Literature,BoK,Breadth of Knowledge
NS,BK:NS - Natural Sciences,BoK,Breadth of Knowledge
QR,BK:QR - Quantitative Reasoning,BoK,Breadth of Knowledge
SE,BK:SE - Social & Ethical Issues,BoK,Breadth of Knowledge
SS,BK:SS - Social Sciences,BoK,Breadth of Knowledge
TI,BK:TI - Technology & Innovation,BoK,Breadth of Knowledge
CP,TP:CP - Capstone,TP,
FY,TP:FY - First Year Experience,TP,
MC,TP:MC - Mid-Collegiate Experience,TP,
